score,r_alignment_reward,w_alignment_reward,active_alignment_reward,r_episode_length_penalty,w_episode_length_penalty,active_episode_length_penalty,r_goal_another_reward,w_goal_another_reward,active_goal_another_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_penalty_drop_object,w_penalty_drop_object,active_penalty_drop_object,r_penalty_drop_object_another,w_penalty_drop_object_another,active_penalty_drop_object_another,r_penalty_object,w_penalty_object,active_penalty_object,r_penalty_object_another,w_penalty_object_another,active_penalty_object_another,r_position_another_reward,w_position_another_reward,active_position_another_reward,r_position_reward,w_position_reward,active_position_reward,r_simultaneity_reward,w_simultaneity_reward,active_simultaneity_reward,r_success_another_reward,w_success_another_reward,active_success_another_reward,r_success_bonus,w_success_bonus,active_success_bonus,r_success_reward,w_success_reward,active_success_reward,r_velocity_object_another_reward,w_velocity_object_another_reward,active_velocity_object_another_reward,r_velocity_object_reward,w_velocity_object_reward,active_velocity_object_reward,r_velocity_reward,w_velocity_reward,active_velocity_reward,env_id,seed
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0.01,1,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,0.5,1,,0,0,,0.5,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0.01,1,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,1.0,1,,1.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,1.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,1.0,1,,1.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,0.1,1,,10.0,1,,10.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,10.0,1,,10.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,10.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,10.0,1,,0.1,1,,0.1,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,0.1,1,,5.0,1,,5.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,1.0,1,,5.0,1,,5.0,1,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0,0,,10.0,1,,5.0,1,,5.0,1,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0.05,1,,10.0,1,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,1.0,1,,1.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,5.0,1,,10.0,1,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0.01,1,,10.0,1,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0.1,1,,10.0,1,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,1.0,1,,10.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,10.0,1,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0.01,1,,10.0,1,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0.1,1,,10.0,1,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,1.0,1,,10.0,1,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,10.0,1,,10.0,1,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0.1,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,1.0,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,10.0,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0.01,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,1.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,10.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0.1,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,1.0,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,10.0,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0.1,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,1.0,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,10.0,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0.1,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,1.0,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,10.0,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,0.05,1,,0.05,1,,0,0,,0.05,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,1.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,5.0,1,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.05,1,,0.05,1,,10.0,1,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0.01,1,,0.01,1,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0.1,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,1.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,10.0,1,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0.01,1,,0.01,1,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0.1,1,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,1.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,10.0,1,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.05,1,,0.05,1,,0.1,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.5,1,,0.5,1,,0.1,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,5.0,1,,5.0,1,,0.1,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0.05,1,,0.05,1,,1.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0.5,1,,0.5,1,,1.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,5.0,1,,5.0,1,,1.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0.05,1,,0.05,1,,10.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0.5,1,,0.5,1,,10.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,5.0,1,,5.0,1,,10.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0.05,1,,0.05,1,,10.0,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,0.5,1,,0.5,1,,10.0,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,5.0,1,,5.0,1,,10.0,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0.01,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.2,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2.0,1,,2.0,1,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,1.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0.1,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,10.0,1,,10.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.05,1,,0.05,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.01,1,,0.01,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,0.5,1,,0.5,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,0,0,,5.0,1,,5.0,1,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,0.1,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,0.1,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.05,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.5,1,,0,0,,1.0,1,,0,0,,0.01,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.5,1,,0,0,,1.0,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.02,1,,0.5,1,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.5,1,,0,0,,0.1,1,,0,0,,0.1,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.2,1,,0.5,1,,0,0,,0.1,1,,0,0,,1.0,1,,0,0,,0,0,,0,0,shadow_hand_2catch_underarm,42
