score,r_angvel_reward,w_angvel_reward,active_angvel_reward,r_fingertip_reward,w_fingertip_reward,active_fingertip_reward,r_goal_align_reward,w_goal_align_reward,active_goal_align_reward,r_goal_alignment_reward,w_goal_alignment_reward,active_goal_alignment_reward,r_goal_reward,w_goal_reward,active_goal_reward,r_grasp_reward,w_grasp_reward,active_grasp_reward,r_handle_grasp_reward,w_handle_grasp_reward,active_handle_grasp_reward,r_handle_reward,w_handle_reward,active_handle_reward,r_left_handle_reward,w_left_handle_reward,active_left_handle_reward,r_lift_reward,w_lift_reward,active_lift_reward,r_linvel_reward,w_linvel_reward,active_linvel_reward,r_pos_reward,w_pos_reward,active_pos_reward,r_right_handle_reward,w_right_handle_reward,active_right_handle_reward,r_stability_reward,w_stability_reward,active_stability_reward,r_success_reward,w_success_reward,active_success_reward,r_task_completion_bonus,w_task_completion_bonus,active_task_completion_bonus,r_task_completion_reward,w_task_completion_reward,active_task_completion_reward,r_task_reward,w_task_reward,active_task_reward,r_vel_penalty,w_vel_penalty,active_vel_penalty,r_vel_reward,w_vel_reward,active_vel_reward,r_velocity_penalty,w_velocity_penalty,active_velocity_penalty,env_id,seed
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.5,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.1,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,10.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,5.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,1.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,5.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,1.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
0.0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,0,0,,10.0,1,,0,0,,0,0,,10.0,1,,0,0,,5.0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1.0,1,,0,0,shadow_hand_lift_underarm,42
